"Código","Nome","Volume","Última (R$)","Variação"
"RAPT4","Randon","1.862.900","11,54","-0,86%"
"SBSP3","Sabesp","1.852.800","67,98","-0,99%"
"RANI3","Irani","1.818.000","10,91","+3,51%"
"GUAR3","Guararapes","1.812.800","6,31","+0,16%"
"ARZZ3","Arezzo","1.787.700","57,50","-3,38%"
"FLRY3","Fleury","1.760.700","17,37","-0,52%"
"EZTC3","EZTEC","1.754.400","18,02","-3,79%"
"BPAN4","Banco Pan","1.745.400","7,88","-1,62%"
"IRBR3","IRB Brasil RE","1.720.600","52,25","-2,57%"
"SGPS3","Springs","1.691.500","1,37","-8,05%"
"SMFT3","Smart Fit","1.633.400","23,69","-2,75%"
"CAML3","Camil Alimentos","1.619.900","7,83","+1,56%"
"SAPR4","Sanepar","1.612.500","5,38","+1,13%"
"NEOE3","Neoenergia","1.610.300","20,11","-0,49%"
"SEER3","Ser Educacional","1.552.000","6,15","-5,67%"
"HYPE3","Hypera","1.535.200","34,00","-0,58%"
"ENAT3","Enauta","1.506.100","14,84","-3,64%"
"PSSA3","Porto Seguro","1.439.500","28,70","+0,74%"
"MULT3","Multiplan","1.334.600","27,64","-0,32%"
"SLCE3","SLC Agrícola","1.297.000","38,04","+0,74%"
"SMTO3","São Martinho","1.249.800","32,42","-2,32%"
"KLBN3","Klabin","1.225.200","4,24","-0,93%"
"PLPL3","Plano&Plano","1.203.100","11,90","+1,80%"
"GGPS3","GPS","1.191.500","17,80","-1,33%"
"AESB3","AES Brasil","1.185.700","10,99","+0,09%"
"RCSL4","Recrusul","1.180.500","1,06","-0,93%"
"CMIG3","CEMIG","1.142.600","15,00","-0,27%"
"PDGR3","PDG Realty","1.125.100","1,62","-10,50%"
"JSLG3","JSL","1.118.700","10,39","+0,10%"
"ODPV3","Odontoprev","1.116.600","11,04","-1,25%"
"BRSR6","Banrisul","1.095.300","12,13","+0,00%"
"MEAL3","IMC Alimentação","1.084.100","1,99","-0,50%"
"CASH3","Méliuz","1.065.300","7,38","-2,25%"
"GRND3","Grendene","975.300","6,56","-2,96%"
"LEVE3","Mahle Metal Leve","945.300","33,30","+6,12%"
"MTRE3","Mitre Realty","918.300","4,65","-4,12%"
"ENJU3","Enjoei","898.500","1,52","+0,00%"
"MILS3","Mills","881.300","12,54","-0,95%"
"AMAR3","Lojas Marisa","878.800","3,82","-7,73%"
"SHOW3","Time For Fun","872.000","2,16","+6,40%"
"AMBP3","Ambipar","828.500","15,73","+0,45%"
"VIVA3","Vivara","813.600","29,42","-2,00%"
"ZAMP3","Zamp","797.200","6,00","+0,33%"
"EVEN3","Even","793.600","6,90","-3,36%"
"MDIA3","M. Dias Branco","779.500","36,07","-0,36%"
"MYPK3","Iochpe-Maxion","748.700","12,17","-0,49%"
"VULC3","Vulcabras","695.900","21,32","-1,30%"
"MBLY3","Mobly","689.000","2,23","-2,62%"
"ITUB3","Itaú Unibanco","685.900","27,08","+0,37%"
"ARML3","Armac","681.600","17,26","+0,06%"
"ELET6","Eletrobras","675.900","44,81","-0,22%"
"CPFE3","CPFL Energia","670.700","37,34","+0,59%"
"VLID3","Valid","655.200","21,07","+0,33%"
"ORVR3","Orizon","651.900","34,41","-3,34%"
"TCSA3","Tecnisa","635.400","3,50","+14,75%"
"CSED3","Cruzeiro do Sul Educacional","621.700","4,03","-0,74%"
"PGMN3","Pague Menos","618.300","3,35","-0,59%"
"OPCT3","OceanPact","614.900","5,71","-1,38%"
"FRAS3","Fras-le","613.400","15,80","-0,88%"
"INTB3","Intelbras","575.400","21,48","-1,10%"
"AGRO3","BrasilAgro","572.900","24,70","+0,32%"
"AZEV3","Azevedo & Travassos","539.400","2,01","-5,63%"
"MDNE3","Moura Dubeux","537.700","11,85","-2,95%"
"HBOR3","Helbor","528.600","2,89","-3,02%"
"USIM3","Usiminas","526.000","7,90","-1,74%"
"SHUL4","Schulz","516.400","6,83","+0,00%"
"BMGB4","Banco BMG","514.000","2,69","+0,00%"
"PTBL3","Portobello","513.700","6,83","-1,73%"
"DESK3","Desktop","506.900","15,00","-1,96%"
"WIZC3","Wiz Soluções","506.000","6,19","-0,96%"
"TRIS3","Trisul","504.200","5,45","-3,37%"
"VVEO3","Viveo","498.900","13,88","-2,25%"
"CLSA3","ClearSale","484.800","3,37","-0,30%"
"JALL3","Jalles Machado","478.800","8,10","+1,00%"
"LIGT3","Light","474.400","5,92","-1,00%"
"FIQE3","Unifique","472.400","3,87","-0,26%"
"ABCB4","Banco ABC Brasil","453.100","21,84","-0,55%"
"TRAD3","Traders Club","442.000","0,95","+1,06%"
"BLAU3","Blau Farmacêutica","432.400","15,46","-2,34%"
"BRIT3","Brisanet","418.700","3,18","-1,24%"
"NGRD3","Neogrid","398.000","1,28","+0,79%"
"FESA4","Ferbasa","374.800","44,40","-3,18%"
"SYNE3","SYN","371.000","4,20","-1,41%"
"BMOB3","Bemobi","361.600","12,46","-3,11%"
"KRSA3","Kora Saúde","358.600","1,16","+3,57%"
"PNVL3","Dimed","354.500","12,13","+1,42%"
"LAVV3","Lavvi Incorporadora","353.500","7,43","-2,24%"
"CTSA3","Santanense","345.200","6,19","+36,04%"
"PFRM3","Profarma","318.700","5,49","-1,96%"
"CTSA4","Santanense","311.500","2,30","+4,07%"
"TASA4","Taurus","307.200","14,26","-1,31%"
"PINE4","PINE","291.000","3,63","-3,20%"
"DASA3","Dasa","289.200","9,17","-0,54%"
"UNIP6","Unipar","272.700","73,47","-2,17%"
"UCAS3","Unicasa","272.200","3,16","+8,97%"
"MATD3","Mater Dei","267.000","7,84","-1,51%"
"ROMI3","Indústrias ROMI","258.100","12,55","-1,26%"
"TUPY3","Tupy","255.000","26,01","-0,42%"
"CTNM4","Coteminas","248.000","1,49","+2,05%"
"TECN3","Technos","241.700","3,55","+1,43%"
"LUPA3","Lupatech","241.400","2,19","-3,95%"
"SAPR3","Sanepar","225.300","5,18","+0,00%"
"RNEW4","Renova Energia","212.100","1,12","+0,00%"
"HBRE3","HBR Realty","200.700","5,00","-0,20%"
"PORT3","Wilson Sons","193.600","15,84","+0,89%"
"TAEE4","Taesa","191.600","12,16","-0,65%"
"SOJA3","Boa Safra Sementes","168.600","15,08","-3,52%"
"LOGG3","LOG CP","162.300","23,49","-3,65%"
"AALR3","Alliança","160.200","11,78","-1,42%"
"VITT3","Vittia","158.800","10,10","-1,75%"
"VIVR3","Viver","155.900","4,26","-3,18%"
"NINJ3","GetNinjas","146.200","4,75","+2,59%"
"ETER3","Eternit","140.600","8,71","-1,25%"
"RNEW3","Renova Energia","134.600","1,13","+0,00%"
"PRNR3","Priner","118.700","11,63","-1,77%"
"POMO3","Marcopolo","114.200","5,00","+2,25%"
"CAMB3","Cambuci","113.500","9,03","-3,01%"
"ALPK3","Estapar","112.800","4,21","-2,55%"
"WHRL4","Whirlpool","108.700","4,68","+7,34%"
"RSID3","Rossi Residencial","107.800","3,83","-7,93%"
"RCSL3","Recrusul","107.300","1,64","-0,61%"
"DMVF3","D1000 Varejo Farma","106.600","5,78","+7,64%"
"DEXP3","Dexxos","103.700","11,50","-1,03%"
"BRKM3","Braskem","98.800","18,25","-1,35%"
"TFCO4","Track & Field","98.800","13,85","-1,07%"
"SANB4","Banco Santander","98.500","16,27","-0,06%"
"LPSB3","Lopes","95.200","2,20","-2,22%"
"LAND3","Terra Santa","91.100","16,02","-1,96%"
"TGMA3","Tegma","89.200","26,68","-0,74%"
"TAEE3","Taesa","87.800","12,12","+0,33%"
"ITSA3","Itaúsa","87.500","9,85","+0,61%"
"BRAP3","Bradespar","84.000","22,28","+0,54%"
"SANB3","Banco Santander","83.500","14,53","+0,90%"
"ELMD3","Eletromidia","76.200","15,09","+2,37%"
"GOAU3","Metalúrgica Gerdau","70.400","10,65","+0,66%"
"ALLD3","Allied","64.900","6,66","+2,94%"
"PDTC3","Padtec","62.000","3,29","+0,00%"
"JFEN3","João Fortes","59.800","2,27","-5,02%"
"MELK3","Melnick","50.900","4,35","+0,23%"
